window_size,ssthresh,ack_received,ack_timeout,new_window_size,new_ssthresh
1,18,0,0,1,18
1,18,1,0,2,18
2,18,0,0,2,18
2,18,1,0,4,18
4,18,0,0,4,18
4,18,1,0,9,18
9,18,0,0,9,18
9,18,1,0,10,18
10,18,0,1,5,10
5,10,0,0,5,10
5,10,1,0,6,10
6,10,0,0,6,10
6,10,1,0,7,10
7,10,0,1,3,7
3,7,0,0,3,7
3,7,1,0,4,7
4,7,0,0,4,7
4,7,1,0,5,7
5,7,0,0,5,7
5,7,1,0,6,7
6,7,0,0,6,7
6,7,1,0,7,7
7,7,0,0,7,7
7,7,1,0,8,7
8,7,0,0,8,7
8,7,1,0,9,7
9,7,0,0,9,7
9,7,1,0,10,7
10,7,0,0,10,7
10,7,1,0,11,7
11,7,0,1,5,11
5,11,0,0,5,11
5,11,1,0,6,11
6,11,0,0,6,11
6,11,1,0,7,11
7,11,0,0,7,11
7,11,1,0,8,11
8,11,0,1,4,8
4,8,0,0,4,8
4,8,1,0,5,8
5,8,0,0,5,8
5,8,1,0,6,8
6,8,0,1,3,6
3,6,0,0,3,6
3,6,1,0,4,6
4,6,0,0,4,6
4,6,1,0,5,6
5,6,0,1,2,5
2,5,0,0,2,5
2,5,1,0,3,5
3,5,0,0,3,5
3,5,1,0,4,5
4,5,0,0,4,5
4,5,1,0,5,5
5,5,0,0,5,5
5,5,1,0,6,5
6,5,0,0,6,5
6,5,1,0,7,5
7,5,0,0,7,5
7,5,1,0,8,5
8,5,0,1,4,8
5,6,0,0,5,6
5,6,1,0,6,6
6,6,0,0,6,6
6,6,1,0,7,6
7,6,0,1,3,7
6,7,0,1,3,6
4,5,0,1,2,4
2,4,0,0,2,4
2,4,1,0,3,4
3,4,0,0,3,4
3,4,1,0,4,4
4,4,0,0,4,4
4,4,1,0,5,4
5,4,0,0,5,4
5,4,1,0,6,4
6,4,0,0,6,4
6,4,1,0,7,4
7,4,0,0,7,4
7,4,1,0,8,4
8,4,0,0,8,4
8,4,1,0,9,4
9,4,0,0,9,4
9,4,1,0,10,4
10,4,0,1,5,10
7,10,0,0,7,10
7,10,1,0,8,10
8,10,0,1,4,8
6,8,0,0,6,8
6,8,1,0,7,8
7,8,0,0,7,8
7,8,1,0,8,8
8,8,0,0,8,8
8,8,1,0,9,8
9,8,0,1,4,9
4,9,0,0,4,9
4,9,1,0,5,9
5,9,0,0,5,9
5,9,1,0,6,9
6,9,0,0,6,9
6,9,1,0,7,9
7,9,0,1,3,7
7,11,0,1,3,7
8,7,0,1,4,8
7,8,0,1,3,7
8,4,0,1,4,8
